timestamp,open,high,low,close,volume
2026-04-05 18:33:00,684.52,687.62,684.3,685.94,25.123
2026-04-05 18:34:00,684.84,686.51,684.84,685.75,5.129
2026-04-05 18:35:00,685.96,686.15,685.96,686.15,0.19
2026-04-05 18:36:00,686.08,686.08,685.0,685.0,0.226
2026-04-05 18:37:00,686.08,686.08,685.1,686.08,4.802
2026-04-05 18:38:00,686.08,686.34,686.08,686.34,0.115
2026-04-05 18:39:00,686.33,686.33,684.31,686.33,0.132
2026-04-05 18:40:00,686.33,687.02,686.33,687.02,0.128
2026-04-05 18:41:00,686.51,686.51,686.51,686.51,0.111
2026-04-05 18:42:00,685.56,685.56,684.94,685.56,0.14
2026-04-05 18:43:00,685.89,686.1,685.89,686.1,0.121
2026-04-05 18:44:00,686.18,686.18,686.18,686.18,0.117
2026-04-05 18:45:00,686.31,686.31,686.31,686.31,0.117
2026-04-05 18:46:00,686.31,686.31,686.31,686.31,0.126
2026-04-05 18:47:00,686.31,686.31,686.31,686.31,0.098
2026-04-05 18:48:00,686.65,686.65,686.65,686.65,0.13
2026-04-05 18:49:00,686.71,687.03,686.71,686.75,0.254
2026-04-05 18:50:00,686.75,686.75,686.74,686.74,0.15
2026-04-05 18:51:00,686.7,687.03,684.48,687.0,0.274
2026-04-05 18:52:00,687.0,687.03,684.3,687.03,0.615
2026-04-05 18:53:00,684.36,687.03,684.36,687.0,0.31
2026-04-05 18:54:00,686.86,686.86,686.54,686.54,0.116
2026-04-05 18:55:00,686.54,686.54,684.54,686.14,0.189
2026-04-05 18:56:00,686.14,687.03,684.3,687.0,1.619
2026-04-05 18:57:00,687.03,687.03,683.58,684.36,0.161
2026-04-05 18:58:00,686.19,687.0,686.19,687.0,0.165
2026-04-05 18:59:00,687.0,687.03,687.0,687.0,0.152
2026-04-05 19:00:00,686.77,686.77,685.02,686.21,0.131
2026-04-05 19:01:00,686.21,686.21,686.21,686.21,0.102
2026-04-05 19:02:00,686.21,686.21,686.21,686.21,0.132
2026-04-05 19:03:00,686.21,686.21,686.21,686.21,0.1
2026-04-05 19:04:00,686.21,686.21,686.21,686.21,0.123
2026-04-05 19:05:00,686.21,686.52,684.3,686.52,1.027
2026-04-05 19:06:00,686.53,686.53,684.3,684.3,0.399
2026-04-05 19:07:00,685.93,685.93,685.93,685.93,0.137
2026-04-05 19:08:00,685.93,686.27,684.29,684.29,15.364
2026-04-05 19:09:00,686.2,686.42,685.97,686.42,0.203
2026-04-05 19:10:00,686.22,686.22,686.22,686.22,0.394
2026-04-05 19:11:00,685.42,685.42,684.3,685.42,0.401
2026-04-05 19:12:00,685.42,685.42,683.96,685.42,1.02
2026-04-05 19:13:00,685.42,685.66,685.42,685.66,0.109
2026-04-05 19:14:00,685.65,685.65,684.88,684.88,0.146
2026-04-05 19:15:00,685.65,685.65,685.65,685.65,0.123
2026-04-05 19:16:00,685.65,685.65,683.9,685.65,0.169
2026-04-05 19:17:00,685.64,685.64,685.64,685.64,0.114
2026-04-05 19:18:00,685.19,685.19,685.19,685.19,0.104
2026-04-05 19:19:00,685.65,685.65,685.65,685.65,0.132
2026-04-05 19:20:00,685.66,685.66,685.66,685.66,0.124
2026-04-05 19:21:00,685.66,685.66,684.53,685.66,0.242
2026-04-05 19:22:00,685.66,685.66,685.66,685.66,0.123
2026-04-05 19:23:00,685.66,685.66,685.66,685.66,0.105
2026-04-05 19:24:00,685.66,686.14,685.66,686.14,1.165
2026-04-05 19:25:00,686.54,686.54,686.54,686.54,0.139
2026-04-05 19:26:00,686.54,686.54,686.54,686.54,0.105
2026-04-05 19:27:00,686.53,686.53,684.63,684.63,0.123
2026-04-05 19:28:00,686.53,686.53,686.53,686.53,0.105
2026-04-05 19:29:00,686.53,686.53,684.63,685.73,0.419
2026-04-05 19:30:00,686.53,686.53,685.73,685.73,0.116
2026-04-05 19:31:00,686.53,686.53,685.73,685.73,0.128
2026-04-05 19:32:00,685.73,686.53,685.73,686.53,0.837
2026-04-05 19:33:00,686.53,686.63,686.53,686.63,0.105
2026-04-05 19:34:00,686.72,686.72,685.74,686.72,0.121
2026-04-05 19:35:00,686.76,686.76,685.74,686.76,0.131
2026-04-05 19:36:00,686.8,686.87,685.75,686.87,0.244
2026-04-05 19:37:00,686.7,686.93,685.75,685.75,0.27
2026-04-05 19:38:00,686.87,686.99,686.87,686.99,0.228
2026-04-05 19:39:00,687.03,687.03,687.03,687.03,0.136
2026-04-05 19:40:00,687.02,687.02,687.02,687.02,0.116
2026-04-05 19:41:00,687.03,687.03,687.03,687.03,0.112
2026-04-05 19:42:00,687.03,687.03,687.03,687.03,0.117
2026-04-05 19:43:00,687.03,687.03,687.02,687.02,0.112
2026-04-05 19:44:00,687.02,687.02,686.79,686.79,0.126
2026-04-05 19:45:00,685.73,686.79,685.73,686.79,0.532
2026-04-05 19:46:00,686.79,686.79,686.79,686.79,0.134
2026-04-05 19:47:00,686.79,686.92,686.79,686.92,0.185
2026-04-05 19:48:00,686.79,686.92,686.79,686.92,0.216
2026-04-05 19:49:00,687.03,687.03,687.03,687.03,0.13
2026-04-05 19:50:00,687.03,687.03,687.03,687.03,0.104
2026-04-05 19:51:00,687.03,687.03,687.03,687.03,0.122
2026-04-05 19:52:00,687.03,687.11,687.03,687.11,0.143
2026-04-05 19:53:00,687.11,687.74,687.11,687.74,0.194
2026-04-05 19:54:00,687.74,687.74,687.6,687.6,0.11
2026-04-05 19:55:00,687.57,688.4,687.57,688.4,2.454
2026-04-05 19:56:00,688.4,688.4,686.81,686.82,21.805
2026-04-05 19:57:00,688.4,688.4,688.4,688.4,0.125
2026-04-05 19:58:00,688.4,688.4,688.38,688.38,0.146
2026-04-05 19:59:00,688.38,688.4,686.83,686.83,4.807
2026-04-05 20:00:00,688.4,688.4,687.51,687.51,7.042
2026-04-05 20:01:00,688.4,688.4,688.4,688.4,0.1
2026-04-05 20:02:00,688.4,688.4,688.4,688.4,0.136
2026-04-05 20:03:00,688.4,688.41,688.4,688.41,0.098
2026-04-05 20:04:00,688.4,688.4,688.4,688.4,0.122
2026-04-05 20:05:00,688.08,688.08,688.08,688.08,0.115
2026-04-05 20:06:00,688.08,688.08,688.08,688.08,0.136
2026-04-05 20:07:00,688.07,688.07,688.07,688.07,0.1
2026-04-05 20:08:00,688.07,688.07,688.07,688.07,0.124
2026-04-05 20:09:00,688.07,688.07,688.07,688.07,0.126
2026-04-05 20:10:00,688.07,688.07,687.85,687.85,0.22
2026-04-05 20:11:00,688.02,688.07,687.96,688.07,0.156
2026-04-05 20:12:00,688.07,688.07,688.07,688.07,0.118
2026-04-05 20:13:00,688.29,688.29,688.29,688.29,0.125
2026-04-05 20:14:00,688.28,688.28,688.28,688.28,0.117
2026-04-05 20:15:00,688.28,688.28,688.28,688.28,0.106
2026-04-05 20:16:00,686.1,687.74,686.1,687.74,0.13
2026-04-05 20:17:00,687.74,687.74,687.74,687.74,0.106
2026-04-05 20:18:00,687.74,687.74,687.74,687.74,0.132
2026-04-05 20:19:00,687.74,687.74,687.72,687.72,0.949
2026-04-05 20:20:00,687.73,687.73,685.73,685.73,0.4
2026-04-05 20:21:00,685.74,687.73,685.73,687.72,0.685
2026-04-05 20:22:00,687.72,687.79,685.73,687.79,1.048
2026-04-05 20:23:00,687.66,687.72,687.31,687.66,0.358
2026-04-05 20:24:00,687.66,687.72,685.66,686.98,0.472
2026-04-05 20:25:00,686.98,686.98,686.98,686.98,0.112
2026-04-05 20:26:00,686.98,686.98,686.98,686.98,0.107
2026-04-05 20:27:00,687.71,687.71,687.36,687.36,0.31
2026-04-05 20:28:00,687.38,687.38,685.66,687.38,0.316
2026-04-05 20:29:00,687.38,687.38,687.38,687.38,0.116
2026-04-05 20:30:00,687.38,687.38,687.3,687.36,0.221
2026-04-05 20:31:00,687.36,687.38,687.36,687.38,0.187
2026-04-05 20:32:00,687.37,687.37,685.66,687.11,0.276
2026-04-05 20:33:00,686.86,686.86,684.76,684.76,5.692
2026-04-05 20:34:00,685.55,686.01,685.55,686.0,1.002
2026-04-05 20:35:00,686.0,686.0,686.0,686.0,0.12
2026-04-05 20:36:00,685.9,685.9,685.5,685.5,0.135
2026-04-05 20:37:00,685.86,686.16,685.86,686.16,0.117
2026-04-05 20:38:00,686.01,686.01,686.01,686.01,0.127
2026-04-05 20:39:00,686.01,686.46,686.01,686.46,3.446
2026-04-05 20:40:00,687.01,687.01,687.01,687.01,0.108
2026-04-05 20:41:00,687.01,687.03,687.01,687.03,0.126
2026-04-05 20:42:00,687.03,687.03,687.03,687.03,0.104
2026-04-05 20:43:00,686.92,687.03,686.92,687.03,0.138
2026-04-05 20:44:00,687.03,687.03,685.09,685.09,0.151
2026-04-05 20:45:00,686.98,687.77,685.09,686.92,2.452
2026-04-05 20:46:00,687.82,687.82,686.14,687.73,4.423
2026-04-05 20:47:00,687.73,688.27,687.73,688.02,0.175
2026-04-05 20:48:00,688.02,688.07,686.55,687.9,0.641
2026-04-05 20:49:00,685.68,688.41,685.68,687.38,1.176
2026-04-05 20:50:00,686.77,687.63,686.77,687.6,0.438
2026-04-05 20:51:00,688.17,688.41,685.86,688.38,0.578
2026-04-05 20:52:00,688.38,688.4,686.55,686.55,0.799
2026-04-05 20:53:00,687.6,688.38,685.66,688.38,0.856
2026-04-05 20:54:00,688.38,688.41,686.0,688.41,0.205
2026-04-05 20:55:00,688.41,688.41,688.41,688.41,0.113
2026-04-05 20:56:00,688.41,688.41,686.82,686.82,34.901
2026-04-05 20:57:00,688.32,688.32,688.09,688.09,0.106
2026-04-05 20:58:00,688.32,688.33,685.66,686.07,0.629
2026-04-05 20:59:00,686.07,688.03,686.07,688.03,0.133
2026-04-05 21:00:00,687.96,688.41,687.96,688.41,0.254
2026-04-05 21:01:00,688.41,688.41,688.38,688.38,0.188
2026-04-05 21:02:00,688.41,688.41,688.32,688.32,0.172
2026-04-05 21:03:00,688.41,688.41,686.21,688.38,0.364
2026-04-05 21:04:00,688.38,688.38,688.38,688.38,0.125
