timestamp,open,high,low,close,volume
2026-04-05 18:08:00,49.92,49.92,49.92,49.92,124.26
2026-04-05 18:09:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:10:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:11:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:12:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:13:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:14:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:15:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:16:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:17:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:18:00,49.92,49.92,49.92,49.92,29.83
2026-04-05 18:19:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:20:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:21:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:22:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:23:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:24:00,49.92,49.92,49.92,49.92,0.73
2026-04-05 18:25:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:26:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:27:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:28:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:29:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:30:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:31:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:32:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:33:00,49.92,49.92,49.92,49.92,2.9
2026-04-05 18:34:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:35:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:36:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:37:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:38:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:39:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:40:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:41:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:42:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:43:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:44:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:45:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:46:00,49.92,49.92,49.92,49.92,0.0
2026-04-05 18:47:00,49.943,49.943,49.943,49.943,10.01
2026-04-05 18:48:00,49.943,49.943,49.943,49.943,0.0
2026-04-05 18:49:00,49.943,49.943,49.943,49.943,0.0
2026-04-05 18:50:00,49.942,49.942,49.942,49.942,34.94
2026-04-05 18:51:00,49.942,49.942,49.942,49.942,0.0
2026-04-05 18:52:00,49.942,49.942,49.942,49.942,0.0
2026-04-05 18:53:00,49.946,49.948,49.946,49.947,118.32
2026-04-05 18:54:00,49.947,49.947,49.947,49.947,0.0
2026-04-05 18:55:00,49.947,49.947,49.947,49.947,0.0
2026-04-05 18:56:00,49.945,49.945,49.945,49.945,38.9
2026-04-05 18:57:00,49.949,49.949,49.949,49.949,0.31
2026-04-05 18:58:00,49.949,49.949,49.949,49.949,0.0
2026-04-05 18:59:00,49.947,49.947,49.945,49.945,38.92
2026-04-05 19:00:00,49.935,49.935,49.935,49.935,4.0
2026-04-05 19:01:00,49.942,49.942,49.942,49.942,10.01
2026-04-05 19:02:00,49.942,49.942,49.942,49.942,0.0
2026-04-05 19:03:00,49.946,49.946,49.941,49.941,70.48
2026-04-05 19:04:00,49.941,49.941,49.941,49.941,0.0
2026-04-05 19:05:00,49.956,49.956,49.956,49.956,1.0
2026-04-05 19:06:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:07:00,49.956,49.956,49.956,49.956,10.0
2026-04-05 19:08:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:09:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:10:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:11:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:12:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:13:00,49.956,49.956,49.956,49.956,0.0
2026-04-05 19:14:00,49.965,49.974,49.965,49.974,146.68
2026-04-05 19:15:00,49.974,49.974,49.974,49.974,0.0
2026-04-05 19:16:00,49.976,49.976,49.973,49.973,21.0
2026-04-05 19:17:00,49.968,49.968,49.968,49.968,3.05
2026-04-05 19:18:00,49.98,49.98,49.967,49.967,20.34
2026-04-05 19:19:00,49.967,49.967,49.967,49.967,0.0
2026-04-05 19:20:00,49.972,50.019,49.972,50.017,522.74
2026-04-05 19:21:00,50.001,50.022,49.998,50.022,46.13
2026-04-05 19:22:00,49.999,50.022,49.996,50.02,93.55
2026-04-05 19:23:00,50.023,50.029,50.015,50.023,142.75
2026-04-05 19:24:00,50.03,50.052,50.023,50.052,232.62
2026-04-05 19:25:00,50.038,50.051,50.038,50.051,50.64
2026-04-05 19:26:00,50.047,50.055,50.036,50.054,136.69
2026-04-05 19:27:00,50.054,50.054,50.054,50.054,0.0
2026-04-05 19:28:00,50.068,50.068,50.065,50.065,81.51
2026-04-05 19:29:00,50.065,50.065,50.065,50.065,0.0
2026-04-05 19:30:00,50.069,50.078,50.068,50.078,64.16
2026-04-05 19:31:00,50.078,50.078,50.078,50.078,0.0
2026-04-05 19:32:00,50.088,50.088,50.088,50.088,0.35
2026-04-05 19:33:00,50.091,50.091,50.091,50.091,119.46
2026-04-05 19:34:00,50.098,50.098,50.083,50.083,67.07
2026-04-05 19:35:00,50.093,50.104,50.075,50.104,44.96
2026-04-05 19:36:00,50.104,50.104,50.104,50.104,0.0
