captured_at_utc,exchange_time,exchange_time_ms,asset,symbol,market_id,book_nonce,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:00:00.012531Z,2026-04-28T23:59:58.617650Z,1777420798617,SILVER,XAG,93,10973104242,73.3133,6.83,0,73.3134,2.73,0,73.31335,0.00010000000000331966,0.01364008055876858,4390.51,321841.71783200005,34.63,2539.056077,11101.949999999997,813702.4472739999,2585.97,189628.374421
2026-04-29T00:00:01.052812Z,2026-04-29T00:00:00.615129Z,1777420800615,SILVER,XAG,93,10973105338,73.2977,4092.02,0,73.3031,2.73,0,73.3004,0.00539999999999452,0.7366944791562557,4222.49,309498.18152299995,818.91,60038.369054,18538.339999999997,1358603.0197760002,4340.6,318291.888484
2026-04-29T00:00:02.002507Z,2026-04-29T00:00:01.580243Z,1777420801580,SILVER,XAG,93,10973105993,73.3143,9.46,0,73.3242,2.73,0,73.31925000000001,0.009900000000001796,1.3502593111634114,142.66,10458.977676,698.48,51221.44742500001,11160.02,817911.033579,6255.15,458821.14888700005
2026-04-29T00:00:03.011411Z,2026-04-29T00:00:02.552785Z,1777420802552,SILVER,XAG,93,10973106771,73.3434,112.37,0,73.3506,8.13,0,73.34700000000001,0.007199999999997431,0.9816352407047909,135.15,9912.228657,4160.59,305205.754117,856.6200000000001,62816.329676999994,5918.139999999999,434154.2012549999
2026-04-29T00:00:04.002704Z,2026-04-29T00:00:03.578816Z,1777420803578,SILVER,XAG,93,10973107648,73.3434,112.37,0,73.3449,2.73,0,73.34415,0.0014999999999929514,0.20451528853943382,302.69000000000005,22198.938199000004,128.69,9439.999651,6525.07,478392.306661,1790.39,131356.353306
2026-04-29T00:00:05.012580Z,2026-04-29T00:00:04.481517Z,1777420804481,SILVER,XAG,93,10973108415,73.3544,8.18,0,73.357,0.5,0,73.3557,0.002600000000001046,0.35443735115349534,300.36,22032.257705,12.540000000000001,920.020613,1565.0200000000002,114760.991014,6099.93,447625.19447100005
2026-04-29T00:00:06.011239Z,2026-04-29T00:00:05.515828Z,1777420805515,SILVER,XAG,93,10973109428,73.3661,3.87,0,73.3672,1.77,0,73.36664999999999,0.0010999999999938836,0.14993188321858553,297.57,21827.705175,126.39,9272.901724,10281.869999999999,753933.946994,2655.08,194839.19081600005
2026-04-29T00:00:07.005183Z,2026-04-29T00:00:06.431976Z,1777420806431,SILVER,XAG,93,10973110554,73.3652,2.73,0,73.3675,0.68,0,73.36635000000001,0.002300000000005298,0.31349521953937975,137.82,10109.787719,173.39000000000001,12722.508388,11550.46,847047.8415799999,2954.2,216793.14895000003
2026-04-29T00:00:08.013112Z,2026-04-29T00:00:07.436704Z,1777420807436,SILVER,XAG,93,10973111878,73.3641,51.8,0,73.3675,0.68,0,73.36580000000001,0.0034000000000133923,0.46343119001133937,84.03,6164.597655,138.23,10142.49274,11606.3,851144.5557700001,2965.2999999999997,217607.58273000002
2026-04-29T00:00:09.057395Z,2026-04-29T00:00:08.619123Z,1777420808619,SILVER,XAG,93,10973113089,73.3605,49.07,0,73.3675,0.68,0,73.364,0.007000000000005002,0.9541464478497631,4267.639999999999,313055.403917,350.65000000000003,25726.575722,17137.909999999996,1256947.624511,2285.0000000000005,167675.07526200006
