captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-29T00:00:00.650195Z,2026-04-28T23:59:59.536000Z,1777420799536,BRENTOIL,xyz:BRENTOIL,103.83,30.8,3,103.85,66.66,4,103.84,0.01999999999999602,1.9260400616328988,4733.4400000000005,491351.8164,4666.99,484821.8834,25380.96,2632623.4109,110781.04000000002,11511534.2255
2026-04-29T00:00:01.313762Z,2026-04-28T23:59:59.536000Z,1777420799536,BRENTOIL,xyz:BRENTOIL,103.83,30.8,3,103.85,66.66,4,103.84,0.01999999999999602,1.9260400616328988,4733.4400000000005,491351.8164,4666.99,484821.8834,25380.96,2632623.4109,110781.04000000002,11511534.2255
2026-04-29T00:00:02.000955Z,2026-04-28T23:59:59.536000Z,1777420799536,BRENTOIL,xyz:BRENTOIL,103.83,30.8,3,103.85,66.66,4,103.84,0.01999999999999602,1.9260400616328988,4733.4400000000005,491351.8164,4666.99,484821.8834,25380.96,2632623.4109,110781.04000000002,11511534.2255
2026-04-29T00:00:03.098598Z,2026-04-29T00:00:02.480000Z,1777420802480,BRENTOIL,xyz:BRENTOIL,103.84,345.0,4,103.85,293.02,2,103.845,0.009999999999990905,0.9629736626694502,1075.34,111642.5976,3121.9,324306.7055,21345.46,2213942.9795,109070.12000000001,11333820.204599999
2026-04-29T00:00:04.023126Z,2026-04-29T00:00:03.339000Z,1777420803339,BRENTOIL,xyz:BRENTOIL,103.84,2272.86,3,103.85,287.03,1,103.845,0.009999999999990905,0.9629736626694502,6387.280000000001,663107.7512,3074.13,319346.3283,25821.11,2678473.5285,109193.6,11346644.985699998
2026-04-29T00:00:05.000827Z,2026-04-29T00:00:04.385000Z,1777420804385,BRENTOIL,xyz:BRENTOIL,103.84,941.99,4,103.85,237.48,1,103.845,0.009999999999990905,0.9629736626694502,4850.92,503579.12419999996,3299.18,342728.0632,25271.85,2621361.1010000003,110962.40000000001,11530425.6396
2026-04-29T00:00:06.001762Z,2026-04-29T00:00:05.420000Z,1777420805420,BRENTOIL,xyz:BRENTOIL,103.84,15.0,1,103.85,237.48,1,103.845,0.009999999999990905,0.9629736626694502,4025.5,417862.58190000005,3669.63,381212.7328,24037.11,2493173.5155,110494.26999999999,11481765.206499998
2026-04-29T00:00:07.000619Z,2026-04-29T00:00:06.534000Z,1777420806534,BRENTOIL,xyz:BRENTOIL,103.84,15.0,1,103.86,10.68,1,103.85,0.01999999999999602,1.9258545979774697,2742.42,284701.3983,88724.84,9218497.8396,24212.97,2511539.7164,108371.83999999997,11261462.027100002
2026-04-29T00:00:08.175974Z,2026-04-29T00:00:07.600000Z,1777420807600,BRENTOIL,xyz:BRENTOIL,103.87,24.63,2,103.88,10.68,1,103.875,0.009999999999990905,0.9626955475322171,3429.83,356183.42389999994,88889.9,9235686.139100002,22059.39,2288915.3965,111046.08000000002,11539696.351400003
2026-04-29T00:00:09.000427Z,2026-04-29T00:00:08.114000Z,1777420808114,BRENTOIL,xyz:BRENTOIL,103.87,24.63,2,103.88,10.68,1,103.875,0.009999999999990905,0.9626955475322171,2318.84,240806.271,89267.48999999999,9274925.291900001,20816.91,2159903.1636,111354.2,11571701.230000002
2026-04-29T00:00:10.000369Z,2026-04-29T00:00:09.203000Z,1777420809203,BRENTOIL,xyz:BRENTOIL,103.87,24.63,2,103.88,10.68,1,103.875,0.009999999999990905,0.9626955475322171,2318.84,240806.271,89246.3,9272722.817000004,20991.89,2178055.2772,111453.28,11582007.315300003
2026-04-29T00:00:11.000939Z,2026-04-29T00:00:09.744000Z,1777420809744,BRENTOIL,xyz:BRENTOIL,103.87,24.63,2,103.88,11.43,2,103.875,0.009999999999990905,0.9626955475322171,2299.39,238786.58299999998,89607.68000000001,9310266.577700002,20972.44,2176035.5892,111824.28,11620551.1712
2026-04-29T00:00:12.000917Z,2026-04-29T00:00:10.383000Z,1777420810383,BRENTOIL,xyz:BRENTOIL,103.87,24.63,2,103.88,11.43,2,103.875,0.009999999999990905,0.9626955475322171,2299.92,238841.6288,89592.34,9308672.558900002,21009.670000000002,2179900.139,111828.18,11620957.054200001
2026-04-29T00:00:13.746814Z,2026-04-29T00:00:13.018000Z,1777420813018,BRENTOIL,xyz:BRENTOIL,103.83,28.88,3,103.87,531.68,5,103.85,0.04000000000000625,3.8517091959563077,3420.04,355017.0204,91458.26000000001,9502488.9789,25157.899999999998,2609376.9584000004,114489.91,11897419.537799997
2026-04-29T00:00:14.729894Z,2026-04-29T00:00:14.088000Z,1777420814088,BRENTOIL,xyz:BRENTOIL,103.84,1010.99,1,103.86,61.21,2,103.85,0.01999999999999602,1.9258545979774697,3134.28,325408.98919999995,90039.78,9355086.468799999,26878.84,2788086.413,113865.68000000001,11832418.462799996
2026-04-29T00:00:15.385212Z,2026-04-29T00:00:14.628000Z,1777420814628,BRENTOIL,xyz:BRENTOIL,103.84,1032.42,3,103.86,71.89,3,103.85,0.01999999999999602,1.9258545979774697,3155.71,327634.28040000005,90011.90999999999,9352191.3983,26139.93,2711400.5869000005,113837.17,11829456.877099998
2026-04-29T00:00:16.205461Z,2026-04-29T00:00:15.728000Z,1777420815728,BRENTOIL,xyz:BRENTOIL,103.84,1032.42,3,103.86,71.89,3,103.85,0.01999999999999602,1.9258545979774697,3155.71,327634.28040000005,90035.98,9354692.271300001,26151.589999999997,2712621.9465000005,113836.05000000002,11829339.0313
2026-04-29T00:00:17.024398Z,2026-04-29T00:00:16.290000Z,1777420816290,BRENTOIL,xyz:BRENTOIL,103.84,1032.42,3,103.86,89.54,4,103.85,0.01999999999999602,1.9258545979774697,3155.71,327634.28040000005,90053.63,9356525.400300002,26151.6,2712626.5937000006,113853.14000000001,11831113.9595
2026-04-29T00:00:18.826965Z,2026-04-29T00:00:17.932000Z,1777420817932,BRENTOIL,xyz:BRENTOIL,103.84,1010.57,1,103.85,165.25,4,103.845,0.009999999999990905,0.9629736626694502,3089.0600000000004,320657.86300000007,3954.4,410797.45480000007,25825.65,2678355.5223000003,111005.20999999999,11534921.2664
2026-04-29T00:00:19.482541Z,2026-04-29T00:00:18.985000Z,1777420818985,BRENTOIL,xyz:BRENTOIL,103.8,3.82,1,103.81,200.0,2,103.805,0.010000000000005116,0.9633447329131656,1712.1399999999999,177665.63929999998,3479.41,361283.44739999995,23700.68,2457225.5114,108663.04000000001,11290364.214200001
2026-04-29T00:00:20.138142Z,2026-04-29T00:00:19.538000Z,1777420819538,BRENTOIL,xyz:BRENTOIL,103.78,23.08,1,103.79,100.0,1,103.785,0.010000000000005116,0.9635303752955742,1812.62,188057.24869999997,3117.58,323675.3569,26957.690000000002,2794327.7013000003,112768.81,11716628.0579
