asset,hyper_source,hyper_symbol,lighter_symbol,rows,start_utc,end_utc,coverage_pct,mean_abs_basis_gap_bps,median_abs_basis_gap_bps,p90_abs_basis_gap_bps,p99_abs_basis_gap_bps,pct_abs_gap_le_025bps,pct_abs_gap_ge_5bps,direction_crosses,convergence_entries,divergence_to_convergence_events,hyper_overpriced_pct,lighter_overpriced_pct
AAPL,km,AAPL,AAPL,373,2026-04-14 05:03:00+00:00,2026-04-15 17:12:00+00:00,17.1889400921659,6.178460462630985,3.922027084612978,14.450052499139554,27.89681914812285,5.361930294906166,45.57640750670242,63,13,6,60.05361930294906,39.946380697050934
AMZN,cash,AMZN,AMZN,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,8.447583070094066,7.730223511517309,15.514710826612598,27.49494404948176,4.230769230769231,71.53846153846153,22,10,8,33.07692307692307,66.15384615384615
COIN,xyz,COIN,COIN,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,20.25230666492372,15.489416401263668,38.59440785922486,123.71851320352614,0.423728813559322,84.32203389830508,29,1,1,51.69491525423729,48.30508474576271
COPPER,xyz,COPPER,XCU,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,4.138256283355271,2.4411284686931545,10.075898759564717,14.26400364571714,2.631578947368421,29.82456140350877,32,3,2,40.35087719298245,58.77192982456141
CRCL,xyz,CRCL,CRCL,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,19.17299621080015,11.266067698839644,44.803414313477234,91.48419418260305,0.8771929824561403,77.19298245614034,32,1,1,72.80701754385966,26.31578947368421
EURUSD,xyz,EUR,EURUSD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,0.9259795873799379,0.6790912089460477,1.8673534886073373,3.698761826989984,16.666666666666664,0.0,34,15,0,38.59649122807017,57.89473684210527
GOOGL,km,GOOGL,GOOGL,373,2026-04-14 05:03:00+00:00,2026-04-15 17:12:00+00:00,17.1889400921659,8.525928829702721,5.896409397014857,19.339567028376692,32.04955561540522,1.3404825737265416,53.35120643431635,57,4,4,52.01072386058981,47.45308310991957
HOOD,cash,HOOD,HOOD,139,2026-04-15 11:38:00+00:00,2026-04-15 14:41:00+00:00,75.54347826086956,23.124879175223484,12.300123001229846,51.23931861243181,145.6538434685478,0.7194244604316548,77.6978417266187,52,1,1,33.81294964028777,66.18705035971223
HYUNDAI,xyz,HYUNDAI,HYUNDAI,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,9993.145645536126,9993.185473354777,9993.2798625899,9993.281670617542,0.0,100.0,0,0,0,0.0,100.0
INTC,cash,INTC,INTC,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,30.404954955718832,27.550725299481105,61.963680585138015,120.3863799506895,0.38461538461538464,90.38461538461539,22,1,1,40.38461538461539,59.61538461538461
META,cash,META,META,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,9.598201117320622,6.506129871758359,22.454460882873395,47.57510144751978,2.6923076923076925,57.30769230769231,30,3,3,29.615384615384617,70.38461538461539
MSFT,cash,MSFT,MSFT,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,27.37638470305952,21.14324548818325,55.5655828584678,64.29933151770288,0.38461538461538464,93.07692307692308,13,1,1,13.076923076923078,86.92307692307692
MSTR,xyz,MSTR,MSTR,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,17.844184917893806,10.004446420630586,42.06372840976691,70.68475183402109,0.423728813559322,78.8135593220339,30,1,1,75.84745762711864,23.728813559322035
NATGAS,xyz,NATGAS,NATGAS,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,11.406923145781693,7.730731950845171,25.679976851853414,58.41471354166705,4.385964912280701,62.28070175438597,31,5,5,57.01754385964912,42.98245614035088
NVDA,km,NVDA,NVDA,251,2026-04-15 11:38:00+00:00,2026-04-15 17:12:00+00:00,74.92537313432835,7.321624228491474,5.255518294208228,15.443976084774658,36.86698653334486,2.3904382470119523,51.39442231075697,75,6,6,66.13545816733067,33.46613545816733
PALLADIUM,xyz,PALLADIUM,XPD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,5.49882918276362,2.5116430013788493,12.461469262999959,32.265975060206735,1.7543859649122806,38.59649122807017,34,2,2,48.24561403508772,50.0
SKHYNIX,xyz,SKHX,SKHYNIX,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,9993.355441445572,9993.319146645552,9993.490596882193,9993.557345068702,0.0,100.0,0,0,0,0.0,100.0
SNDK,xyz,SNDK,SNDK,15,2026-04-15 13:50:00+00:00,2026-04-15 14:08:00+00:00,78.94736842105263,102.3652738047526,106.6915501191712,127.71438253790411,154.58176039917956,0.0,100.0,0,0,0,100.0,0.0
TSLA,km,TSLA,TSLA,251,2026-04-15 11:38:00+00:00,2026-04-15 17:12:00+00:00,74.92537313432835,8.478130095367929,7.102639599153582,17.571101667210876,31.574247792497957,1.593625498007968,61.75298804780876,85,4,4,27.88844621513944,71.71314741035857
