timestamp,symbol_hyper,hyper_price,symbol_lighter,open,high,low,close,volume,lighter_price,asset,hyper_source,hyper_symbol,lighter_symbol,signed_basis_bps,abs_basis_gap_bps,overpriced_exchange,underpriced_exchange,basis_trade_side,converged_band,diverged_band,observed,signed_basis_bps_estimated,abs_basis_gap_bps_estimated,estimated
2026-04-15 11:38:00+00:00,COPPER,6.1387,XCU,6.1404,6.1404,6.1379,6.1379,200.0,6.1379,COPPER,xyz,COPPER,XCU,1.3033773766268908,1.3033773766268908,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,1.3033773766268908,1.3033773766268908,False
2026-04-15 11:39:00+00:00,COPPER,6.1388,XCU,6.1379,6.1379,6.1379,6.1379,0.0,6.1379,COPPER,xyz,COPPER,XCU,1.466299548704697,1.466299548704697,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,1.466299548704697,1.466299548704697,False
2026-04-15 11:40:00+00:00,,,,,,,,,,COPPER,xyz,COPPER,XCU,,,,,,,,False,0.8146108603912516,0.8146108603912516,True
2026-04-15 11:41:00+00:00,COPPER,6.138,XCU,6.1379,6.1379,6.1379,6.1379,0.0,6.1379,COPPER,xyz,COPPER,XCU,0.16292217207780624,0.16292217207780624,Hyperliquid,Lighter,long_lighter_short_hyperliquid,True,False,True,0.16292217207780624,0.16292217207780624,False
2026-04-15 11:42:00+00:00,COPPER,6.1365,XCU,6.1379,6.1379,6.1379,6.1379,0.0,6.1379,COPPER,xyz,COPPER,XCU,-2.280910409098169,2.280910409098169,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,False,True,-2.280910409098169,2.280910409098169,False
2026-04-15 11:43:00+00:00,COPPER,6.1372,XCU,6.1379,6.1379,6.1379,6.1379,0.0,6.1379,COPPER,xyz,COPPER,XCU,-1.1404552045490846,1.1404552045490846,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,False,True,-1.1404552045490846,1.1404552045490846,False
2026-04-15 11:44:00+00:00,,,,,,,,,,COPPER,xyz,COPPER,XCU,,,,,,,,False,0.4880940623841479,0.4880940623841479,True
2026-04-15 11:45:00+00:00,COPPER,6.1431,XCU,6.1425,6.1425,6.1418,6.1418,200.0,6.1418,COPPER,xyz,COPPER,XCU,2.1166433293173803,2.1166433293173803,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,2.1166433293173803,2.1166433293173803,False
2026-04-15 11:46:00+00:00,COPPER,6.1418,XCU,6.1418,6.149,6.1418,6.149,81.09,6.149,COPPER,xyz,COPPER,XCU,-11.709221011546589,11.709221011546589,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-11.709221011546589,11.709221011546589,False
2026-04-15 11:47:00+00:00,COPPER,6.1449,XCU,6.149,6.149,6.149,6.149,0.0,6.149,COPPER,xyz,COPPER,XCU,-6.667750853798227,6.667750853798227,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-6.667750853798227,6.667750853798227,False
2026-04-15 11:48:00+00:00,,,,,,,,,,COPPER,xyz,COPPER,XCU,,,,,,,,False,-7.88746137583396,7.88746137583396,True
