timestamp,symbol_hyper,hyper_price,symbol_lighter,open,high,low,close,volume,lighter_price,asset,hyper_source,hyper_symbol,lighter_symbol,signed_basis_bps,abs_basis_gap_bps,overpriced_exchange,underpriced_exchange,basis_trade_side,converged_band,diverged_band,observed,signed_basis_bps_estimated,abs_basis_gap_bps_estimated,estimated
2026-04-14 05:03:00+00:00,COIN,176.975,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-9.878633926051483,9.878633926051483,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-9.878633926051483,9.878633926051483,False
2026-04-14 05:04:00+00:00,COIN,176.895,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-14.394580863674733,14.394580863674733,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.394580863674733,14.394580863674733,False
2026-04-14 05:05:00+00:00,COIN,176.89,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-14.676827547277504,14.676827547277504,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.676827547277504,14.676827547277504,False
2026-04-14 05:06:00+00:00,COIN,176.87,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-15.80581428168193,15.80581428168193,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-15.80581428168193,15.80581428168193,False
2026-04-14 05:07:00+00:00,COIN,176.88,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-15.241320914479717,15.241320914479717,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-15.241320914479717,15.241320914479717,False
2026-04-14 05:08:00+00:00,COIN,176.89,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-14.676827547277504,14.676827547277504,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.676827547277504,14.676827547277504,False
2026-04-14 05:09:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-13.406717471070584,13.406717471070584,True
2026-04-14 05:10:00+00:00,COIN,176.935,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.136607394863663,12.136607394863663,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.136607394863663,12.136607394863663,False
2026-04-14 05:11:00+00:00,COIN,176.935,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.136607394863663,12.136607394863663,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.136607394863663,12.136607394863663,False
2026-04-14 05:12:00+00:00,COIN,176.935,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.136607394863663,12.136607394863663,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.136607394863663,12.136607394863663,False
2026-04-14 05:13:00+00:00,COIN,176.935,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.136607394863663,12.136607394863663,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.136607394863663,12.136607394863663,False
2026-04-14 05:14:00+00:00,COIN,176.94,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-11.854360711262002,11.854360711262002,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-11.854360711262002,11.854360711262002,False
2026-04-14 05:15:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-12.418854078465325,12.418854078465325,True
2026-04-14 05:16:00+00:00,COIN,176.92,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.983347445668647,12.983347445668647,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.983347445668647,12.983347445668647,False
2026-04-14 05:17:00+00:00,COIN,176.905,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-13.83008749647252,13.83008749647252,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-13.83008749647252,13.83008749647252,False
2026-04-14 05:18:00+00:00,COIN,176.925,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-12.701100762065876,12.701100762065876,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.701100762065876,12.701100762065876,False
2026-04-14 05:19:00+00:00,COIN,176.905,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-13.83008749647252,13.83008749647252,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-13.83008749647252,13.83008749647252,False
2026-04-14 05:20:00+00:00,COIN,176.97,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-10.160880609653145,10.160880609653145,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-10.160880609653145,10.160880609653145,False
2026-04-14 05:21:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-10.725373976856467,10.725373976856467,True
2026-04-14 05:22:00+00:00,COIN,176.95,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-11.28986734405979,11.28986734405979,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-11.28986734405979,11.28986734405979,False
2026-04-14 05:23:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-13.124470787469479,13.124470787469479,True
2026-04-14 05:24:00+00:00,COIN,176.885,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-14.959074230879166,14.959074230879166,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.959074230879166,14.959074230879166,False
2026-04-14 05:25:00+00:00,COIN,176.89,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-14.676827547277504,14.676827547277504,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.676827547277504,14.676827547277504,False
2026-04-14 05:26:00+00:00,COIN,176.855,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-16.652554332488023,16.652554332488023,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-16.652554332488023,16.652554332488023,False
2026-04-14 05:27:00+00:00,COIN,176.8,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-19.757267852102967,19.757267852102967,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-19.757267852102967,19.757267852102967,False
2026-04-14 05:28:00+00:00,COIN,176.8,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-19.757267852102967,19.757267852102967,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-19.757267852102967,19.757267852102967,False
2026-04-14 05:29:00+00:00,COIN,176.84,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-17.49929438329079,17.49929438329079,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-17.49929438329079,17.49929438329079,False
2026-04-14 05:30:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-18.487157775896048,18.487157775896048,True
2026-04-14 05:31:00+00:00,COIN,176.805,COIN,177.15,177.15,177.15,177.15,0.0,177.15,COIN,xyz,COIN,COIN,-19.475021168501307,19.475021168501307,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-19.475021168501307,19.475021168501307,False
2026-04-14 05:32:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-14.117526408823911,14.117526408823911,True
2026-04-14 05:33:00+00:00,COIN,176.785,COIN,176.94,176.94,176.94,176.94,0.062,176.94,COIN,xyz,COIN,COIN,-8.760031649146516,8.760031649146516,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-8.760031649146516,8.760031649146516,False
2026-04-14 05:34:00+00:00,COIN,176.71,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-12.99875664066863,12.99875664066863,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-12.99875664066863,12.99875664066863,False
2026-04-14 05:35:00+00:00,COIN,176.685,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-14.41166497117674,14.41166497117674,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.41166497117674,14.41166497117674,False
2026-04-14 05:36:00+00:00,,,,,,,,,,COIN,xyz,COIN,COIN,,,,,,,,False,-14.41166497117674,14.41166497117674,True
2026-04-14 05:37:00+00:00,COIN,176.685,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-14.41166497117674,14.41166497117674,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-14.41166497117674,14.41166497117674,False
2026-04-14 05:38:00+00:00,COIN,176.59,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-19.780716627104677,19.780716627104677,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-19.780716627104677,19.780716627104677,False
2026-04-14 05:39:00+00:00,COIN,176.555,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-21.758788289815143,21.758788289815143,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-21.758788289815143,21.758788289815143,False
2026-04-14 05:40:00+00:00,COIN,176.56,COIN,176.94,176.94,176.94,176.94,0.0,176.94,COIN,xyz,COIN,COIN,-21.476206623713967,21.476206623713967,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-21.476206623713967,21.476206623713967,False
