asset,hyper_source,hyper_symbol,lighter_symbol,rows,start_utc,end_utc,coverage_pct,mean_abs_basis_gap_bps,median_abs_basis_gap_bps,p90_abs_basis_gap_bps,p99_abs_basis_gap_bps,pct_abs_gap_le_025bps,pct_abs_gap_ge_5bps,direction_crosses,convergence_entries,divergence_to_convergence_events,hyper_overpriced_pct,lighter_overpriced_pct
AAPL,km,AAPL,AAPL,373,2026-04-14 05:03:00+00:00,2026-04-15 17:12:00+00:00,17.1889400921659,6.178460462630985,3.922027084612978,14.450052499139554,27.89681914812285,5.361930294906166,45.57640750670242,63,13,6,60.05361930294906,39.946380697050934
AAPL,xyz,AAPL,AAPL,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,5.462792574899374,4.211856701057393,10.92381507486584,16.98670341442721,0.423728813559322,43.64406779661017,23,1,1,77.54237288135593,22.45762711864407
AMZN,cash,AMZN,AMZN,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,8.447583070094066,7.730223511517309,15.514710826612598,27.49494404948176,4.230769230769231,71.53846153846153,22,10,8,33.07692307692307,66.15384615384615
AMZN,xyz,AMZN,AMZN,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,8.129545464491796,7.569188406911231,15.184985724837063,25.835251929902213,2.11864406779661,72.45762711864407,21,4,2,32.6271186440678,66.10169491525424
COIN,xyz,COIN,COIN,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,20.25230666492372,15.489416401263668,38.59440785922486,123.71851320352614,0.423728813559322,84.32203389830508,29,1,1,51.69491525423729,48.30508474576271
COIN,flx,COIN,COIN,236,2026-04-14 05:03:00+00:00,2026-04-15 14:08:00+00:00,11.88318227593152,20.05661013591397,17.064879420696787,34.98482858566132,119.16604155115678,1.694915254237288,84.32203389830508,37,4,3,43.22033898305085,56.779661016949156
COPPER,xyz,COPPER,XCU,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,4.138256283355271,2.4411284686931545,10.075898759564717,14.26400364571714,2.631578947368421,29.82456140350877,32,3,2,40.35087719298245,58.77192982456141
COPPER,flx,COPPER,XCU,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,94.28072861549312,94.56513770784657,100.82554024291669,107.60229325670497,0.0,100.0,0,0,0,0.0,100.0
CRCL,xyz,CRCL,CRCL,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,19.17299621080015,11.266067698839644,44.803414313477234,91.48419418260305,0.8771929824561403,77.19298245614034,32,1,1,72.80701754385966,26.31578947368421
CRCL,flx,CRCL,CRCL,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,18.979784915277374,11.780902152016548,43.42298245616772,107.96098723902786,0.8771929824561403,73.68421052631578,43,1,1,55.26315789473685,43.859649122807014
EURUSD,xyz,EUR,EURUSD,114,2026-04-15 11:38:00+00:00,2026-04-15 14:08:00+00:00,75.49668874172185,0.9259795873799379,0.6790912089460477,1.8673534886073373,3.698761826989984,16.666666666666664,0.0,34,15,0,38.59649122807017,57.89473684210527
GOOGL,km,GOOGL,GOOGL,373,2026-04-14 05:03:00+00:00,2026-04-15 17:12:00+00:00,17.1889400921659,8.525928829702721,5.896409397014857,19.339567028376692,32.04955561540522,1.3404825737265416,53.35120643431635,57,4,4,52.01072386058981,47.45308310991957
GOOGL,cash,GOOGL,GOOGL,260,2026-04-14 05:03:00+00:00,2026-04-15 14:41:00+00:00,12.877662209014364,8.1992255237999,5.827134048025373,19.36364853512762,30.490093723531917,5.769230769230769,53.84615384615385,31,4,3,56.53846153846154,38.84615384615385
