timestamp,symbol_hyper,hyper_price,symbol_lighter,open,high,low,close,volume,lighter_price,asset,hyper_source,hyper_symbol,lighter_symbol,signed_basis_bps,abs_basis_gap_bps,overpriced_exchange,underpriced_exchange,basis_trade_side,converged_band,diverged_band,observed,signed_basis_bps_estimated,abs_basis_gap_bps_estimated,estimated
2026-04-14 05:03:00+00:00,AMZN,240.755,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,-8.839347963214284,8.839347963214284,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-8.839347963214284,8.839347963214284,False
2026-04-14 05:04:00+00:00,AMZN,240.755,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,-8.839347963214284,8.839347963214284,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-8.839347963214284,8.839347963214284,False
2026-04-14 05:05:00+00:00,AMZN,240.805,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,-6.7643836525999035,6.7643836525999035,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-6.7643836525999035,6.7643836525999035,False
2026-04-14 05:06:00+00:00,AMZN,240.865,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,-4.274426479863314,4.274426479863314,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,False,True,-4.274426479863314,4.274426479863314,False
2026-04-14 05:07:00+00:00,AMZN,240.885,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,-3.444440755618894,3.444440755618894,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,False,True,-3.444440755618894,3.444440755618894,False
2026-04-14 05:08:00+00:00,AMZN,240.985,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,0.705487865608756,0.705487865608756,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,0.705487865608756,0.705487865608756,False
2026-04-14 05:09:00+00:00,,,,,,,,,,AMZN,cash,AMZN,AMZN,,,,,,,,False,0.39424321901737613,0.39424321901737613,True
2026-04-14 05:10:00+00:00,AMZN,240.97,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,0.08299857242599629,0.08299857242599629,Hyperliquid,Lighter,long_lighter_short_hyperliquid,True,False,True,0.08299857242599629,0.08299857242599629,False
2026-04-14 05:11:00+00:00,AMZN,240.975,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,0.2904950034854359,0.2904950034854359,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,0.2904950034854359,0.2904950034854359,False
2026-04-14 05:12:00+00:00,AMZN,241.015,AMZN,240.968,240.968,240.968,240.968,0.0,240.968,AMZN,cash,AMZN,AMZN,1.9504664519764958,1.9504664519764958,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,1.9504664519764958,1.9504664519764958,False
