timestamp,symbol_hyper,hyper_price,symbol_lighter,open,high,low,close,volume,lighter_price,asset,hyper_source,hyper_symbol,lighter_symbol,signed_basis_bps,abs_basis_gap_bps,overpriced_exchange,underpriced_exchange,basis_trade_side,converged_band,diverged_band,observed,signed_basis_bps_estimated,abs_basis_gap_bps_estimated,estimated
2026-04-15 11:38:00+00:00,NATGAS,2.73585,NATGAS,2.7537,2.7537,2.7537,2.7537,0.0,2.7537,NATGAS,xyz,NATGAS,NATGAS,-64.82187602135147,64.82187602135147,Lighter,Hyperliquid,long_hyperliquid_short_lighter,False,True,True,-64.82187602135147,64.82187602135147,False
2026-04-15 11:39:00+00:00,NATGAS,2.7392,NATGAS,2.7364,2.7364,2.7364,2.7364,100.0,2.7364,NATGAS,xyz,NATGAS,NATGAS,10.23242216050102,10.23242216050102,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,10.23242216050102,10.23242216050102,False
2026-04-15 11:40:00+00:00,,,,,,,,,,NATGAS,xyz,NATGAS,NATGAS,,,,,,,,False,13.795497734248041,13.795497734248041,True
2026-04-15 11:41:00+00:00,NATGAS,2.74115,NATGAS,2.7364,2.7364,2.7364,2.7364,0.0,2.7364,NATGAS,xyz,NATGAS,NATGAS,17.358573307995062,17.358573307995062,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,17.358573307995062,17.358573307995062,False
2026-04-15 11:42:00+00:00,NATGAS,2.7409,NATGAS,2.7364,2.7364,2.7364,2.7364,0.0,2.7364,NATGAS,xyz,NATGAS,NATGAS,16.444964186521638,16.444964186521638,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,16.444964186521638,16.444964186521638,False
2026-04-15 11:43:00+00:00,NATGAS,2.7407,NATGAS,2.7364,2.7364,2.7364,2.7364,0.0,2.7364,NATGAS,xyz,NATGAS,NATGAS,15.714076889343787,15.714076889343787,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,15.714076889343787,15.714076889343787,False
2026-04-15 11:44:00+00:00,,,,,,,,,,NATGAS,xyz,NATGAS,NATGAS,,,,,,,,False,10.138476663325013,10.138476663325013,True
2026-04-15 11:45:00+00:00,NATGAS,2.74075,NATGAS,2.7395,2.7395,2.7395,2.7395,0.0,2.7395,NATGAS,xyz,NATGAS,NATGAS,4.56287643730624,4.56287643730624,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,False,True,4.56287643730624,4.56287643730624,False
2026-04-15 11:46:00+00:00,NATGAS,2.73845,NATGAS,2.7393,2.7401,2.7362,2.7362,11818.66,2.7362,NATGAS,xyz,NATGAS,NATGAS,8.223083107958828,8.223083107958828,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,8.223083107958828,8.223083107958828,False
2026-04-15 11:47:00+00:00,NATGAS,2.7406,NATGAS,2.7362,2.7362,2.7362,2.7362,0.0,2.7362,NATGAS,xyz,NATGAS,NATGAS,16.08069585556704,16.08069585556704,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,16.08069585556704,16.08069585556704,False
2026-04-15 11:48:00+00:00,,,,,,,,,,NATGAS,xyz,NATGAS,NATGAS,,,,,,,,False,12.696861568629592,12.696861568629592,True
2026-04-15 11:49:00+00:00,NATGAS,2.74065,NATGAS,2.7381,2.7381,2.7381,2.7381,98.6,2.7381,NATGAS,xyz,NATGAS,NATGAS,9.313027281692143,9.313027281692143,Hyperliquid,Lighter,long_lighter_short_hyperliquid,False,True,True,9.313027281692143,9.313027281692143,False
