asset,trades,avg_layers,gross_pnl,fees,net_pnl,winrate_pct,avg_hold_s
BRENTOIL,714,1.0,1651.05,428.4,1222.65,88.38,52.44
GOLD,334,1.0,771.92,200.4,571.52,99.4,623.73
SILVER,550,1.0,1270.75,330.0,940.75,91.64,597.85
WTI,1351,1.0,3197.32,810.6,2386.72,89.34,313.38
