asset,trades,pnl_usd,realized_pnl_usd,end_mark_pnl_usd,win_rate,avg_hold_s,profitable_avg_hold_s,avg_layers,avg_max_notional_usd
BRENTOIL,1356,5252.9815076347495,5257.459565175082,-4.478057540332543,91.3716814159292,93.22787610619469,101.69330104923326,1.4859882005899705,14859.882005899704
GOLD,606,598.453829006699,601.2337125754433,-2.7798835687442205,53.960396039603964,124.96864686468646,229.23547400611622,1.2277227722772277,12277.227722772277
SILVER,1083,2186.4072477619084,2185.694144724837,0.7131030370716815,94.0904893813481,65.20775623268698,69.21197252208047,1.3047091412742382,13047.091412742382
WTI,1179,5629.72263616478,5627.510747579532,2.2118885852470727,84.98727735368958,143.21204410517387,168.311377245509,1.5699745547073791,15699.745547073791
