asset,trades,single_gross_pnl_usd,single_win_rate,single_avg_hold_s,avg_layers,avg_max_notional_usd,scaled_gross_pnl_usd,scaled_win_rate,scaled_avg_layers,scaled_avg_max_notional_usd,pnl_lift_usd,pnl_lift_pct
BRENTOIL,1356,2237.1978918105915,91.00294985250736,93.22787610619469,1.0,10000.0,5252.9815076347495,91.3716814159292,1.4859882005899705,14859.882005899704,3015.783615824158,134.80182628741204
GOLD,606,192.6988098335657,53.3003300330033,124.96864686468646,1.0,10000.0,598.453829006699,53.96039603960397,1.2277227722772277,12277.227722772275,405.75501917313335,210.56436182640914
SILVER,1083,1178.0365451101743,92.70544783010158,65.20775623268698,1.0,10000.0,2186.4072477619084,94.0904893813481,1.3047091412742382,13047.091412742382,1008.3707026517341,85.59757393243072
WTI,1179,2109.962996595574,84.56318914334182,143.21204410517387,1.0,10000.0,5629.72263616478,84.98727735368958,1.5699745547073791,15699.745547073791,3519.759639569206,166.81617854191467
