asset,trades,pnl_usd,realized_pnl_usd,end_mark_pnl_usd,win_rate,avg_hold_s,profitable_avg_hold_s,avg_layers,avg_max_notional_usd
BRENTOIL,1391,5416.58855594798,5415.093839699425,1.4947162485546903,91.6606757728253,106.45794392523365,116.02666666666667,1.490294751976995,14902.94751976995
GOLD,635,602.626004915654,603.9713071646369,-1.3453022489829336,52.75590551181102,153.69291338582678,231.36119402985074,1.2220472440944883,12220.472440944883
SILVER,1083,2187.651633479453,2185.694144724837,1.9574887546162087,94.0904893813481,85.45983379501385,90.73601570166831,1.3056325023084026,13056.325023084026
WTI,1179,5632.200625435728,5627.510747579532,4.689877856195945,84.98727735368958,161.81679389312978,190.20259481037925,1.5699745547073791,15699.745547073791
