step_bps,max_layers,trades,pnl_usd,realized_pnl_usd,end_mark_pnl_usd,win_rate,avg_hold_s,avg_layers,max_used_layers,avg_max_notional_usd
0.5,3,4288,13739.965657273184,13738.464693219303,1.5009640538796627,84.93470149253731,123.37056902985074,1.546641791044776,3,15466.41791044776
0.5,5,4288,16586.254736307346,16584.848309570913,1.4064267364350695,84.93470149253731,123.37056902985074,1.6651119402985075,5,16651.119402985074
0.5,10,4288,17277.067889504808,17269.101452786388,7.966436718420042,84.93470149253731,123.37056902985074,1.6875,9,16875.0
1.0,3,4288,12612.998564514217,12608.526284460477,4.4722800537407235,84.67817164179104,123.37056902985074,1.3852611940298507,3,13852.611940298508
1.0,5,4288,13839.066819778815,13832.270039168432,6.796780610383911,84.67817164179104,123.37056902985074,1.4258395522388059,5,14258.39552238806
1.0,10,4288,13971.99075767627,13965.193977065886,6.796780610383911,84.67817164179104,123.37056902985074,1.4284048507462686,7,14284.048507462687
2.0,3,4288,10483.409393757665,10479.26452415641,4.14486960125526,84.28171641791045,123.37056902985074,1.2038246268656716,3,12038.246268656716
2.0,5,4288,10679.626664532498,10675.481794931242,4.14486960125526,84.28171641791045,123.37056902985074,1.2080223880597014,5,12080.223880597016
2.0,10,4288,10711.081490104985,10706.93662050373,4.14486960125526,84.28171641791045,123.37056902985074,1.2082555970149254,6,12082.555970149253
3.0,3,4288,8926.45277237039,8924.321602708402,2.131169661988983,84.07182835820896,123.37056902985074,1.1105410447761195,3,11105.410447761195
3.0,5,4288,8992.473460041183,8990.342290379194,2.131169661988983,84.07182835820896,123.37056902985074,1.111240671641791,5,11112.40671641791
3.0,10,4288,8992.473460041183,8990.342290379194,2.131169661988983,84.07182835820896,123.37056902985074,1.111240671641791,5,11112.40671641791
