captured_at_utc,exchange_time,exchange_time_ms,asset,coin,best_bid_px,best_bid_sz,best_bid_orders,best_ask_px,best_ask_sz,best_ask_orders,mid_px,spread_px,spread_bps,bid_depth_5_sz,bid_depth_5_notional,ask_depth_5_sz,ask_depth_5_notional,bid_depth_20_sz,bid_depth_20_notional,ask_depth_20_sz,ask_depth_20_notional
2026-04-24T01:18:48.000860Z,2026-04-24T01:18:48.184000Z,1776993528184,SILVER,xyz:SILVER,75.649,9.93,1,75.658,790.05,3,75.65350000000001,0.009000000000000341,1.1896343196283503,69.67,5270.346210000001,856.52,64802.789189999996,13401.22,1013566.1221700001,8928.12,675583.66622
2026-04-24T01:18:49.000369Z,2026-04-24T01:18:48.722000Z,1776993528722,SILVER,xyz:SILVER,75.65,11.85,1,75.658,790.05,3,75.654,0.007999999999995566,1.0574457398148898,81.38,6156.20841,870.01,65823.42938,13543.66,1024339.2303599999,8764.47,663198.58105
2026-04-24T01:18:50.000781Z,2026-04-24T01:18:50.341000Z,1776993530341,SILVER,xyz:SILVER,75.649,1.32,1,75.65,599.3,2,75.6495,0.0010000000000047748,0.13218858022918523,713.44,53965.314730000006,1384.75,104757.36114,13935.080000000002,1053832.89229,7785.579999999999,589090.05276
2026-04-24T01:18:51.001183Z,2026-04-24T01:18:50.865000Z,1776993530865,SILVER,xyz:SILVER,75.645,0.14,1,75.65,400.2,4,75.64750000000001,0.005000000000009663,0.6609603754267706,758.53,57375.89132000001,585.53,44295.768019999996,18070.280000000002,1366566.41882,7815.090000000001,591335.42032
2026-04-24T01:18:52.001601Z,2026-04-24T01:18:51.970000Z,1776993531970,SILVER,xyz:SILVER,75.643,0.02,1,75.644,900.0,3,75.6435,0.0010000000000047748,0.1321990653532392,101.71000000000001,7691.807680000001,4555.33,344592.54604,13657.779999999999,1032631.7588999999,12288.960000000001,929697.9276299999
2026-04-24T01:18:53.001243Z,2026-04-24T01:18:53.107000Z,1776993533107,SILVER,xyz:SILVER,75.625,0.26,1,75.63,25.12,1,75.6275,0.0049999999999954525,0.6611351690847183,1185.44,89632.19884,1583.46,119763.87217,16275.03,1230378.3387,16402.41,1240742.20282
2026-04-24T01:18:54.001408Z,2026-04-24T01:18:54.118000Z,1776993534118,SILVER,xyz:SILVER,75.611,12.26,3,75.621,900.0,3,75.616,0.009999999999990905,1.3224714346158095,919.12,69493.98582,4500.0,340303.5,19259.9,1455994.6536499998,11865.159999999998,897381.9219999999
2026-04-24T01:18:55.000792Z,2026-04-24T01:18:55.707000Z,1776993535707,SILVER,xyz:SILVER,75.62,12.65,1,75.621,299.46,2,75.62049999999999,0.000999999999990564,0.1322392737406608,101.79,7697.080739999999,1189.18,89932.0275,18327.59,1385551.9845599998,8718.3,659428.55882
2026-04-24T01:18:56.168204Z,2026-04-24T01:18:56.245000Z,1776993536245,SILVER,xyz:SILVER,75.619,62.86,1,75.621,299.46,2,75.62,0.001999999999995339,0.26448029621731534,134.62,10179.32912,1215.48,91920.99115999999,18562.88,1403340.8833099997,8814.989999999998,666740.86111
2026-04-24T01:18:57.000939Z,2026-04-24T01:18:56.792000Z,1776993536792,SILVER,xyz:SILVER,75.611,23.52,3,75.621,33.31,2,75.616,0.009999999999990905,1.3224714346158095,7485.41,565924.9926,1040.67,78702.17878999999,19166.91,1448974.1266999997,8542.499999999998,646133.4974600001
2026-04-24T01:18:58.000732Z,2026-04-24T01:18:57.815000Z,1776993537815,SILVER,xyz:SILVER,75.613,65.56,1,75.614,458.7,2,75.6135,0.0010000000000047748,0.13225151593363285,1215.75,91921.68633999999,1226.19,92721.49023,13308.919999999998,1006083.8833999998,8021.929999999999,606690.7259299998
2026-04-24T01:18:59.000839Z,2026-04-24T01:18:58.892000Z,1776993538892,SILVER,xyz:SILVER,75.614,12.3,1,75.621,5361.4,2,75.6175,0.006999999999990791,0.9257116408226654,949.62,71800.883,5612.089999999998,424392.5149799999,11460.669999999998,866393.14183,18947.559999999998,1433012.0729399999
2026-04-24T01:19:00.000733Z,2026-04-24T01:19:00.523000Z,1776993540523,SILVER,xyz:SILVER,75.611,107.69,1,75.62,37.56,3,75.6155,0.009000000000000341,1.1902321613955262,199.83,15108.609290000002,5675.58,429193.42144,15397.449999999999,1163940.59964,22013.829999999998,1664948.36054
2026-04-24T01:19:01.085974Z,2026-04-24T01:19:01.088000Z,1776993541088,SILVER,xyz:SILVER,75.611,107.69,1,75.62,37.56,3,75.6155,0.009000000000000341,1.1902321613955262,193.77,14650.69309,5702.16,431203.4541999999,14920.650000000001,1127905.29058,21492.809999999998,1625532.1926599997
2026-04-24T01:19:02.001211Z,2026-04-24T01:19:01.621000Z,1776993541621,SILVER,xyz:SILVER,75.612,12.22,1,75.62,26.7,2,75.616,0.008000000000009777,1.057977147694903,821.02,62075.350719999995,5664.86,428382.77531999996,10779.26,814875.74134,19094.990000000005,1444158.92509
2026-04-24T01:19:03.000877Z,2026-04-24T01:19:02.699000Z,1776993542699,SILVER,xyz:SILVER,75.622,2212.74,8,75.625,0.26,1,75.6235,0.0030000000000001137,0.3967020833471227,9140.15,691161.0384,0.9400000000000001,71.0983,20461.079999999998,1547064.8353300001,7179.04,543213.3866099999
2026-04-24T01:19:04.037385Z,2026-04-24T01:19:03.780000Z,1776993543780,SILVER,xyz:SILVER,75.645,10.62,1,75.651,0.66,1,75.648,0.006000000000000227,0.7931472081218575,6303.98,476836.61636,32.44,2454.4042,20830.469999999998,1575423.3091599992,7814.479999999999,591315.74682
2026-04-24T01:19:05.001158Z,2026-04-24T01:19:04.852000Z,1776993544852,SILVER,xyz:SILVER,75.65,34.3,1,75.651,0.66,1,75.6505,0.000999999999990564,0.13218683286833055,774.1700000000001,58563.62277000001,45.79,3464.46494,15569.31,1177603.27101,7853.339999999999,594256.1935599999
2026-04-24T01:19:06.001082Z,2026-04-24T01:19:05.943000Z,1776993545943,SILVER,xyz:SILVER,75.65,34.3,1,75.651,0.66,1,75.6505,0.000999999999990564,0.13218683286833055,774.1700000000001,58563.64919000001,19.35,1463.93426,17602.979999999996,1331416.2845599998,7164.8,542148.5926699998
2026-04-24T01:19:07.001096Z,2026-04-24T01:19:07.042000Z,1776993547042,SILVER,xyz:SILVER,75.65,34.3,1,75.651,0.66,1,75.6505,0.000999999999990564,0.13218683286833055,774.1700000000001,58563.63598000001,177.97,13463.8545,17788.1,1345412.7761199998,7381.97,558574.83619
2026-04-24T01:19:08.001469Z,2026-04-24T01:19:07.565000Z,1776993547565,SILVER,xyz:SILVER,75.65,7.65,1,75.651,0.66,1,75.6505,0.000999999999990564,0.13218683286833055,747.52,56547.563480000004,177.97,13463.8545,17761.449999999997,1343396.7036199998,7395.1900000000005,559575.24647
2026-04-24T01:19:09.000421Z,2026-04-24T01:19:08.653000Z,1776993548653,SILVER,xyz:SILVER,75.629,13.22,1,75.641,300.0,1,75.635,0.012000000000000455,1.5865670655120585,1238.45,93654.70437,1500.0,113464.5,20786.2,1571699.3138500003,9971.320000000002,754364.2738300001
2026-04-24T01:19:10.001270Z,2026-04-24T01:19:10.200000Z,1776993550200,SILVER,xyz:SILVER,75.601,13.22,1,75.619,0.26,1,75.61,0.018000000000000682,2.380637481814665,799.2900000000001,60426.151939999996,3915.77,296119.35660000006,13173.5,995771.9939500001,19929.65,1507329.3432600002
2026-04-24T01:19:11.084633Z,2026-04-24T01:19:11.295000Z,1776993551295,SILVER,xyz:SILVER,75.618,22.21,2,75.619,0.26,1,75.6185,0.0010000000000047748,0.1322427712801464,102.34,7737.78618,844.63,63876.19452999999,16529.469999999998,1249507.9199299999,8713.4,659055.50824
2026-04-24T01:19:12.000948Z,2026-04-24T01:19:11.830000Z,1776993551830,SILVER,xyz:SILVER,75.62,299.35,1,75.622,0.26,1,75.62100000000001,0.001999999999995339,0.26447679877221125,870.5800000000002,65832.25658,871.16,65886.0978,8984.19,679209.3805999999,10689.04,808519.84027
2026-04-24T01:19:13.001064Z,2026-04-24T01:19:12.924000Z,1776993552924,SILVER,xyz:SILVER,75.621,12.17,1,75.622,0.26,1,75.6215,0.0010000000000047748,0.13223752504311273,1065.63,80573.50477,721.47,54562.48465,11677.6,882806.69493,8116.990000000001,613950.148
