pricing,asset,trades,pnl,win_rate,avg_hold_s,avg_abs_entry_gap
bidask,BRENTOIL,1361,-2687.0252008973475,9.037472446730344,92.68258633357826,1.0786337615729915
bidask,GOLD,625,-263.95518669319466,18.08,120.4816,0.40535369571193414
bidask,SILVER,1101,-2013.0507192916796,7.901907356948229,63.75476839237057,0.8337536646156518
bidask,WTI,1187,-1749.6203659773475,17.186183656276327,141.89637742207245,1.1235351567180099
mid,BRENTOIL,1361,2243.173605781171,90.96252755326965,92.68258633357826,1.0786337615729915
mid,GOLD,625,199.03208462555736,53.12,120.4816,0.40535369571193414
mid,SILVER,1101,1176.0826115680898,92.00726612170754,63.75476839237057,0.8337536646156518
mid,WTI,1187,2106.252856210205,84.07750631844986,141.89637742207245,1.1235351567180099
